BeeID,ColonyID_queen,ColonyID_workers,QueenID,MicrocolonyID,Treatment,Brood,Time.development.days,Behavioral.assay,Assays.response.summary,Assays.response,LearningTraining.summary,LearningTraining,LearningTest.summary,LearningTest,Sucrose.summary,Sucrose.response,Sucrose.conc.summary,Sucrose.conc,Survival.hours,Wing1.mm,Wing2.mm,Avg.mm,comments
Bee021,WP4,,MT001,QR001,Queen.reared,1stBrood,31,Sucrose,yes,1,,,,,yes,1,50%,0.5,48,2.7,2.7,2.7,
Bee022,QP2,,MT009,QE003,Queen.reared,1stBrood,24,Sucrose,yes,1,,,,,yes,1,35%,0.35,24,2.1,2.1,2.1,
Bee023,QP2,,MT009,QE003,Queen.reared,1stBrood,24,Learning,no,0,yes,1,no,0,,,,,36,2.5,2.5,2.5,
Bee024,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Learning,yes,1,yes,1,yes,1,,,,,24,2.4,2.4,2.4,
Bee025,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Learning,yes,1,yes,1,no,0,,,,,27,2.3,2.3,2.3,
Bee026,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Learning,no,0,no,0,,,,,,,24,2.3,2.3,2.3,
Bee027,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,45%,0.45,24,2.5,2.5,2.5,
Bee028,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Sucrose,no,0,,,,,no,0,,,27,2.4,2.4,2.4,
Bee029,QP2,,MT009,QE003,Queen.reared,1stBrood,,,,,,,,,,,,,,,,,died
Bee030,QP2,,MT009,QE003,Queen.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,20%,0.2,28,2.4,2.4,2.4,
Bee031,QP2,BS03,MT006,WR002,Worker.reared,1stBrood,30,Sucrose,yes,1,,,,,yes,1,30%,0.3,24,2.6,2.6,2.6,
Bee032,QP2,,MT030,QE010,Queen.reared,1stBrood,21,Sucrose,no,0,,,,,no,0,,,48,2.7,2.7,2.7,
Bee033,QP2,BS03,MT006,WR002,Worker.reared,1stBrood,26,Learning,yes,1,yes,1,yes,1,,,,,24,2.4,2.4,2.4,
Bee034,QP2,BS03,MT006,WR002,Worker.reared,1stBrood,26,Learning,yes,1,yes,1,yes,1,,,,,29,,,,
Bee035,QP2,BS03,MT006,WR002,Worker.reared,1stBrood,27,Sucrose,yes,1,,,,,yes,1,35%,0.35,24,2.4,2.4,2.4,
Bee036,QP2,,MT030,QE010,Queen.reared,1stBrood,23,Sucrose,no,0,,,,,no,0,,,48,2.7,2.7,2.7,
