ColonyID_queen,QueenID,Treatment,MicrocolonyID,Feeding.3d,Feeding.5d,N.larvae,Body.Size(mean),Development.Time(mean)
MP10,MT049,queen.reared,QE002,2,4,7,2.4,26
WP09,MT042,queen.reared,QR003,4,3,1,1.8,27
WP07,MT010,queen.reared,QR004,3,6,8,2.45,35.5
WP04,MT001,queen.reared,QR001,5,5,1,2.7,31
WP07,MT036,queen.reared,QR006,3,4,5,2.2,32
BS02,MT043,worker.reared,QE001,6,5,5,2.6,21
WP07,MT014,worker.reared,WR005,3,6,6,2.8,24
QP02,MT006,worker.reared,WR002,3,3,5,2.4,26.4
WP07,MT040,worker.reared,WR012,3,4,7,2.8,25
WP07,MT044,worker.reared,WR013,2,3,1,,27
